run_id,agent_id,update,distraction_sigs,fitness,fun_cnt,fun_used,inst_entropy,sim_thresh
271,137,100000,0,90.75,24,6.98,4.642,0.241896
271,65,100000,0,256.0,32,30.99,4.9139,0.09582
271,633,100000,0,22.06,32,8.0,5.2845,0.960787
271,360,100000,0,256.0,32,29.74,5.33948,0.534843
271,300,100000,0,50.26,3,3.0,1.58532,0.474222
271,517,100000,0,256.0,32,23.24,5.25186,0.804713
271,154,100000,0,256.0,32,22.28,5.1256,0.233904
271,482,100000,0,256.0,32,19.24,4.97347,0.750751
271,385,100000,0,256.0,32,21.76,5.30791,0.58159
271,196,100000,0,256.0,32,29.84,5.0846,0.271569
271,589,100000,0,125.75,32,22.43,4.89883,0.862068
271,262,100000,0,256.0,32,29.87,5.21802,0.383606
271,605,100000,0,50.46,31,10.32,4.82504,0.936688
271,173,100000,0,93.25,25,7.61,4.71256,0.270373
271,321,100000,0,256.0,32,24.54,5.19109,0.499375
271,629,100000,0,28.86,31,2.0,4.93175,0.964196
271,1,100000,0,16.3,1,1.0,-0,0.0203827
271,509,100000,0,256.0,32,17.27,5.00766,0.795677
271,498,100000,0,47.18,27,3.0,5.28614,0.799097
271,86,100000,0,256.0,32,20.61,5.11093,0.106177
271,151,100000,0,256.0,32,19.26,5.39438,0.229469
271,233,100000,0,32.81,2,2.0,1,0.37396
271,493,100000,0,256.0,32,27.37,5.0266,0.750751
271,95,100000,0,256.0,32,27.91,4.84254,0.103067
271,556,100000,0,256.0,32,25.53,5.27862,0.810936
271,551,100000,0,256.0,32,21.73,5.34138,0.808598
271,169,100000,0,35.91,4,4.0,1.92228,0.269909
271,186,100000,0,256.0,30,20.99,5.3838,0.284985
271,388,100000,0,256.0,32,26.7,5.2982,0.561386
271,286,100000,0,256.0,31,22.44,5.20126,0.415034
271,559,100000,0,256.0,32,26.76,4.98877,0.808639
271,369,100000,0,46.36,6,5.82,2.19751,0.564482
271,547,100000,0,256.0,32,18.67,5.26194,0.810936
271,238,100000,0,79.03,25,7.13,4.72327,0.381923
271,310,100000,0,256.0,32,20.32,5.00496,0.481288
271,580,100000,0,130.93,32,21.26,4.88649,0.862068
271,167,100000,0,33.22,2,2.0,1,0.26178
271,474,100000,0,249.47,32,25.91,5.20607,0.742261
271,309,100000,0,256.0,32,16.63,5.34266,0.48845
271,80,100000,0,256.0,31,27.98,5.11645,0.138818
271,275,100000,0,138.24,31,10.38,4.85428,0.423227
271,452,100000,0,253.14,32,21.49,5.49061,0.693456
271,444,100000,0,245.96,32,16.41,4.81089,0.701065
271,494,100000,0,256.0,32,27.96,4.95918,0.750751
271,528,100000,0,0.0,29,0.0,5.3241,0.851886
271,503,100000,0,127.39,31,8.0,5.21268,0.768626
271,179,100000,0,256.0,32,16.58,5.39697,0.276904
271,121,100000,0,256.0,32,22.58,5.36245,0.181255
271,531,100000,0,45.58,31,3.0,5.26193,0.826851
271,68,100000,0,32.12,2,2.0,1,0.138534
271,574,100000,0,136.53,32,15.31,5.18624,0.864453
271,506,100000,0,177.06,31,11.0,5.23047,0.794387
271,222,100000,0,256.0,31,24.0,5.15304,0.308581
271,251,100000,0,256.0,32,20.0,4.97062,0.373621
271,242,100000,0,247.92,32,22.3,5.12267,0.365079
271,375,100000,0,184.08,31,12.27,5.30877,0.588488
271,156,100000,0,256.0,31,23.62,4.97716,0.231218
271,486,100000,0,256.0,32,22.87,4.91076,0.750751
271,229,100000,0,256.0,32,30.78,4.96594,0.325458
271,583,100000,0,122.58,32,21.31,4.91799,0.872134
271,263,100000,0,256.0,32,30.65,5.17346,0.356527
271,390,100000,0,256.0,32,27.88,5.25312,0.591404
271,210,100000,0,132.45,32,12.58,4.74732,0.315448
271,548,100000,0,256.0,32,26.53,5.32107,0.8092
271,427,100000,0,256.0,32,27.24,5.39244,0.630086
271,77,100000,0,143.62,28,11.42,4.53296,0.128456
271,492,100000,0,256.0,32,27.69,4.98625,0.750751
